,1,2,3,4,5,6,7,8,A2(U)
4.0,7487895,9379216,8959720,7834047,9024768,6848545,9379216,7247490,8934464
9.0,7824090,9801176,9464224,8185658,9432000,7146557,9801176,7568340,9335914
14.0,8162145,10228064,9608368,8540155,8680126,9423568,10228064,7905465,9740990
