,A1,A10,A11,A12,A13,A14,A15,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B3 & B4,B3B4,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4
5.0,6846840,7226610,6517710,7440290,6809610,6517710,7078575,7121100,7337330,6553400,7256200,7196010,6125625,6507980,6517710,5692840,7274435,6712650,10860800,10860800,5873400,6286815,4917855,4749690,4361320,5178084,9499220,4020090,4914690,4211380,9599680,4818320,5027935,5735315,10768160,10722720,11202505,10520950
10.0,7160010,7145990,6999345,7684820,7032010,6999345,7447620,7524300,7220785,5408491,7509600,7513410,6472575,6792235,6999345,5932160,7664125,7278390,11449600,11449600,6631950,6545460,5127645,4958370,5050620,5001552,10036215,4187465,4386280,4386280,10452705,5029630,5258455,5933065,11150080,11306295,11807755,10890000
14.0,7403110,4274305,7237035,8228935,7159890,7237035,7694345,7904400,7462455,7278600,7278600,7762500,6704100,7030620,7237035,6494500,7840350,7491330,11824640,11824640,6637150,6767985,5293590,5120430,5216436,6205692,10370650,4390375,4597750,4597750,10980550,5194045,5447730,6142115,11822160,11677775,12193770,11553080
