,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
8.0/F低層A,8.0,低層,A,12840930,15853,810,75,1,KKC
15.0/F中層A,15.0,中層,A,13602330,16793,810,82,1,KKC
20.0/F高層A,20.0,高層,A,14145840,17464,810,77,1,KKC
8.0/F低層B,8.0,低層,B,12196392,15717,776,78,1,KKC
15.0/F中層B,15.0,中層,B,12919624,16649,776,85,1,KKC
20.0/F高層B,20.0,高層,B,13436440,17315,776,80,1,KKC
8.0/F低層C,8.0,低層,C,12749185,16241,785,174,2,KKC
15.0/F中層C,15.0,中層,C,13452545,17137,785,173,2,KKC
20.0/F高層C,20.0,高層,C,13972215,17799,785,161,2,KKC
8.0/F低層D,8.0,低層,D,11719488,15752,744,121,1,KKC
15.0/F中層D,15.0,中層,D,12414384,16686,744,150,1,KKC
20.0/F高層D,20.0,高層,D,12910632,17353,744,124,1,KKC
8.0/F低層E,8.0,低層,E,8253936,15996,516,54,1,KKC
15.0/F中層E,15.0,中層,E,8743620,16945,516,61,1,KKC
20.0/F高層E,20.0,高層,E,9093468,17623,516,56,1,KKC
8.0/F低層F,8.0,低層,F,,,,,,KKC
15.0/F中層F,15.0,中層,F,,,,,,KKC
20.0/F高層F,20.0,高層,F,,,,,,KKC
8.0/F低層G,8.0,低層,G,13011760,15868,820,75,1,KKC
15.0/F中層G,15.0,中層,G,13783380,16809,820,82,1,KKC
20.0/F高層G,20.0,高層,G,14334420,17481,820,77,1,KKC
