,A,B,C,D,E,F,G,H,I,J,K,M,N,O,P
2.0,4043030,4102620,3470265,3689355,4027880,4078885,3435760,3689355,4078885,4078885,3689355,4078885,4078885,3586210,3653450
3.0,4053130,4163725,3702755,3702755,4051110,4093025,3702755,3702755,4093025,4093025,3702755,4093025,4093025,3598280,3666355
4.0,4071815,4132415,3716155,3716155,4065250,4108175,3716155,3716155,4108175,4108175,3716155,3934960,4108175,3611770,3679705
