,A,B,C,D,E,F,G
12.0,14810250,19665312,7604932,8807672,8790044,7776833,19267376
23.0,15915000,21132816,8131354,9429624,9426460,8342955,20698850
35.0,17121298,22681890,19661580,19961370,22387980,8945601,22310437
