,A,B,C,D,F,G,H
6.0,4339200,5706367,4706622,6630593,5881560,5881560,4339200
8.0,4397568,5783089,4770225,6719630,5960910,5960910,4397568
11.0,4485120,5898172,4864770,6852805,6079590,6079590,4485120
