,A,B,B & C,BC,C,D
17.0,9704200,7887744,16223380,16223380,8014944,9070675
32.0,10375474,8347328,17267240,17267240,8412768,9119345
50.0,11200732,8980592,18236060,18236060,8795808,9816425
