,A1,A3,A4,B1,B2,B3,C1,C2,C3,D1,D2,D3
2.0,7636,9611,7326,7461,7461,7348,10669,7461,7348,9678,7461,10495
3.0,7703,7408,7384,7520,7520,7406,10755,7520,7406,7520,7520,10579
4.0,7770,7467,7442,7579,7579,7465,10841,10550,7465,7579,7579,10663
