,1,2,3,4,5,6,7,8
7.0,9947,10886,10101,9842,9567,9684,9934,11227
18.0,10487,12027,11647,11802,10088,10152,11916,11782
29.0,12285,12606,12213,12414,12442,10497,12536,12365
