,A,B,C,D,E,EF,F,G,H
6.0,14841,15169,14925,15238,16032,23649,16014,15766,15766
16.0,15681,15660,15731,15498,16481,24885,16800,16344,16344
25.0,16273,15887,16329,16096,17231,26040,17412,17280,17280
