,A1,A2,A3,A5,A6,B1,B2,B3,B5
4.0,17716,17199,16785,16241,17280,17698,17065,17160,18404
10.0,18323,18665,17227,17899,18927,18573,18607,17266,18696
17.0,21902,19522,17935,18335,20377,19574,22117,18601,18740
