,A,AB,B,C,D,E,F,G,H
5.0,,10387,10534,11397,13167,13288,10889,10792,10827
10.0,,10662,10813,11707,13524,13572,11146,11070,11055
18.0,,10894,11004,12000,14222,13741,11883,11486,11308
