,1,2,3,4,5,6,7,8
3.0,15030,15924,16012,15294,15211,15698,16322,15461
8.0,15503,16479,16544,15676,15705,16476,16844,15849
13.0,15501,17035,17080,16152,15965,16787,17371,16533
