,A,B,C,D,E,F,G,H,J,K
9.0,13060,12307,12307,13226,12755,12198,13779,12302,12447,13113
20.0,13485,12692,12692,11558,13230,12621,14192,12687,12835,13582
30.0,13810,13233,13059,14158,13578,13098,14446,13059,13152,13192
