,A,B,C,D,E,F,G,H
10.0,15968,14539,14095,16205,15957,14037,14279,16199
28.0,16974,15046,14506,16734,17095,14619,13520,17045
45.0,17522,15775,15146,18268,16724,14254,14124,17756
