,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,4075542,3712845,3605650,3420650,4507300,3402890,3575488,2997296,2997296,4026444,3214955,3423504,3242816,3513356
8.0,4087896,3807714,3391420,3480960,4521400,3468380,3291024,3122792,3122792,4039074,3297888,3516608,3394432,3501014
10.0,4083210,3883533,3471710,3521290,4516230,3510190,3336288,3161636,3161636,2951498,3336752,3535376,3437488,3495404
