,A1,A2,A3,B1,B2,B4,C2,C3
2.0,7112,6440,6694,5297,6680,6715,6733,6380
3.0,7148,6472,6727,5323,6714,6749,6767,6463
4.0,7185,6504,6800,5350,6748,6783,6801,6498
