,A,AB,B,C,D,DE,E,F,F & G,G,G & H,H
5.0,10819,8573,10804,10521,11265,9049,10833,,10075,,10164,11071
10.0,11315,8966,11299,11004,11782,9464,11331,,10537,,10631,11579
14.0,11712,9281,11696,11390,12195,9796,11374,11922,10907,,11004,11986
