,1,10,11,12,15,16,17,18,19,2,20,21,22,23,25,26,27,28,29,3,30,31,32,33,5,6,7,8,9
9.0,15024,16220,16320,16348,16781,15900,,,13997,15903,14162,14871,14828,14066,14959,14959,15235,15048,13686,16188,12733,14037,13837,13540,15073,15529,15968,,14209
14.0,16111,16884,16969,17000,17575,16549,,,15242,16535,15044,15639,16282,14642,15552,15577,16187,15668,14711,16524,14405,14637,14849,14536,15785,16146,16620,,14983
18.0,16061,17660,17412,17413,17906,17309,,,16434,17225,16055,16268,17142,15183,16146,16146,16778,16243,15511,17197,15127,15158,15341,15018,16371,16906,17383,,15764
