,A,B,C,D,E,F,G,H,I,J,K,L
3.0,4186368,4140180,4208688,4208688,4242744,4542012,3264195,4083310,3590400,2724280,4115216,5090820
6.0,4260864,4220172,4286304,4286304,4321152,4625508,3204088,4160310,3656070,3092817,4190872,5183640
8.0,4310400,4291634,4337784,4337784,4373424,4681314,3242144,4197655,3699960,3129126,4241440,5245996
