,A1,A10,A2,A9,B11,B12,B3,B5,C14,C15,C6,C7,C8,F15
2.0,420,240,400,225,240,240,402,385,342,440,385,375,360,415
4.0,420,240,400,225,240,240,402,400,335,440,385,375,360,415
7.0,420,240,400,225,240,237,400,400,335,440,402,375,360,415
