,A,B,C,D,E,F,G,H,J,K
5.0,9471,9450,9645,9471,9957,9710,9450,9450,9694,9792
12.0,9736,9715,9771,9736,10231,9724,9715,9715,9962,10070
18.0,9965,9944,10001,9965,10467,9947,9944,9944,10193,10430
