,A,B,C,D,E,E & F,F,G,GH,H
7.0,5943630,5784867,5441016,5449132,5033398,6438037,4936796,5534424,5990895,5548634
20.0,6426216,6161877,5701224,5448800,4921890,6873495,4970392,5744592,6360640,5676760
32.0,7053480,6219387,5929740,5746260,5228994,6703138,5176508,6204404,6554128,5771836
