,1,10,2,3,4,5,6,7,8,9,F10,F3,F7,F8,F9
4.0,5076100,3355716,5076100,4254630,4222070,3551496,3527160,3355716,3610710,3515233,3565632,4228360,3016146,3594538,3485377
7.0,5219160,3437742,5219160,4358230,4326410,3641352,3614520,3437742,3602313,3602313,3655008,4331960,3089352,3684417,3573390
10.0,5327260,3478902,5327260,4464420,4433340,3731832,3703752,3478902,3691259,3691259,3701166,4438150,3159912,3773363,3662647
