,1,2,3,4,5,6,7,8,B1,B2,B3,B4,B5,B6
5.0,376,400,360,360,400,376,365,365,376,400,360,360,400,376
12.0,376,400,360,360,400,376,365,365,376,400,360,360,400,376
20.0,376,400,360,360,400,376,365,365,376,400,360,360,400,376
