,A,B,C,D,E,F,G,GH,H
17.0,16206,14726,13882,14346,16613,14276,17106,13361,14596
36.0,16478,14783,14983,14601,16649,15125,16802,14048,15133
54.0,17012,15490,15316,15225,16939,15983,17262,,16597
