,A,B,BC,C,D,E,F,G,H
6.0,14641,14557,12679,14673,14723,14247,15255,14196,14204
10.0,14815,14943,12831,14743,14973,14428,15807,14379,14384
17.0,15122,15049,13097,15243,15152,14756,15791,14710,15079
