,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,11412330,15394680,10660872,15277017,15844213,10895913,10496661,11009200,11425296,14784903,10766196,11143908,11701995,12805700,11365520
30.0,14877241,16471056,11988159,15782503,16907280,12710460,11411274,11547392,12256884,13136016,11812960,14358148,12245215,11568160,12925775
47.0,16098672,17305456,13163124,13669205,18300946,13200608,13215648,12368176,16110241,14818952,12191360,13396584,13655860,12858912,12378720
