,A1,A2,A3,B1,B2,B3,C3
2.0,3861600,3647616,4051824,3771600,3771600,3590784,4820885
3.0,3893600,3664128,4070486,3788800,3788800,3607296,4842820
4.0,3894800,3677952,4091318,3802800,3802800,3587712,4859940
