,A,B,C,D,E,F,G,H,J,K,L,M
7.0,4437120,4225526,4131216,4923648,4944384,4065984,5065406,4966083,4143312,4875264,4883328,4385130
18.0,4733760,4407160,4307472,5092416,5223168,4226688,5351232,5245740,4347216,5034240,5111424,4599950
30.0,4824960,4503509,4408128,5189760,5241600,4430160,5422392,5264268,4348944,5217984,5210496,4644782
