,A,A & B,AB,B,C,D,E,F,G
8.0,12937,14058,14317,13119,12398,14082,12887,13133,13291
18.0,13890,14819,15091,13849,13420,14597,13655,13845,13612
27.0,14297,15504,15789,14072,13996,15225,14133,13449,13603
