,1,2,3,4,5,6,7
5.0,5146801,5103710,5564270,6075820,5729850,5192885,5300152
12.0,5262112,5284960,5785080,6391980,5949762,5373425,5543538
18.0,5411236,5448230,6085765,6176600,6138258,5530365,5719428
