,A,B,C,D,E,F,G,H,I,J,K
3.0,465,425,435,435,425,485,335,340,250,365,335
6.0,465,425,435,435,425,485,335,340,250,365,335
9.0,465,425,435,435,425,485,335,340,250,365,335
