,A,B,C,D,E,F,G,H,I,I & J,J,K,L,M,N,O,P,Q,R,S
3.0,8160,9866,9227,9145,9251,9518,9426,9308,9308,7572,9320,8404,9300,9427,9283,9267,9341,9283,9369,8004
7.0,8393,9455,9529,9484,9484,9750,9582,9543,9543,7765,9486,8612,9438,9619,9538,9410,9488,9092,9577,8149
11.0,8628,9481,9586,9516,9516,9716,9699,9722,9722,7861,9736,8694,9711,9857,9717,9650,9725,9299,9815,8354
