,A,B,C,D,E,F,G,H,J,K
5.0,10135,10198,10146,10076,10556,10087,10143,10417,10141,10401
12.0,10509,10580,10521,10451,10944,10461,10517,10800,10515,10784
18.0,10813,10878,10825,10326,11253,10765,10821,11662,10819,11097
