,A,B,C,D,E,F,G,H,I,J,K,L
4.0,706,813,905,448,456,579,457,542,542,475,600,571
10.0,689,896,608,448,456,579,457,542,542,475,600,571
17.0,706,608,454,706,456,579,457,542,542,475,622,571
