,A,B,C,D,E,F,G,GH,H
6.0,7722939,7662681,7491744,7864472,7760834,7713521,8889790,10812389,3643545
14.0,8155861,8010951,7781728,8172382,7990640,7932062,9202830,11080878,3751338
21.0,8415764,7959081,8018720,8348867,8231711,8149852,9484020,11116749,3581241
