,2A,2B,2C,2D,2E,2F,A,B,D,F
2.0,4647111,4012680,4494336,4711343,4090176,4423194,4485612,4012680,4402177,4485612
3.0,4643778,4167720,4512880,4726891,4189327,4448646,4504095,4029000,4420117,4504095
4.0,4662867,3885180,4531424,4746027,4123577,4466826,4522275,4045575,4438356,4522275
