,C,D,E,F,G,H,PORTION B,PORTION C,PORTION E,PORTION H
2.0,3170700,3170700,2225190,2507241,2225190,2078175,2979420,3170700,2335917,2335917
5.0,3233572,3233572,2382260,2551527,2365500,2121009,3038580,3233572,2382260,2382260
8.0,3296444,3060875,2313762,2435004,2411860,2146056,3097740,3296444,2428986,2428986
