,A,B,C,D,E,F,G,H,I,J
8.0,18067,17095,17096,16872,16873,17254,16201,16194,17010,17234
19.0,18848,18503,18568,17984,17625,18472,17351,17355,18212,18685
29.0,18766,19965,19963,19888,19768,19769,18806,18736,20164,20058
