,A,A-D,ABC,B,C,C & D,D,E,F,G,H
4.0,860,,,915,915,2005,1090,810,646,660,570
8.0,860,,,915,915,2005,1090,810,646,660,570
13.0,860,,,915,915,2005,1090,810,646,660,570
