,A,B,C,D,E,F,G,H,J,K,L,M
6.0,6403782,5837128,5908248,5830500,6036580,5092660,6026211,6225060,7091224,6106500,5994576,6213044
8.0,6293724,5778820,5804055,5727000,5932160,4995140,5921559,6114900,6969460,6007600,5891064,6105972
10.0,9479916,9935872,10039876,11226144,11923614,10057182,10488320,9908805,11728795,10100412,11503784,9135003
