,A,B,BC,C,D,E,F,G,H
5.0,7670700,7665975,13268946,7582731,8475588,9112616,9358168,8904225,8077680
14.0,7971750,7635600,13830906,7998432,8839864,9668816,9673760,9497400,8232480
22.0,8267400,7987275,14347374,8260317,9215360,10164864,9979464,9840600,8503200
