,1,11,12,13,14,15,17,18,20,21,23,6,8,9
9.0,5800,5643,5719,5661,5643,4982,5681,5648,5685,5647,5643,5825,5615,5615
20.0,5445,5793,5985,5763,5793,5243,5775,5923,5780,5736,5793,5793,5759,5759
29.0,6276,6008,6111,5978,6008,5489,5989,6059,5996,5942,6008,6008,5973,5973
