,A,B,C,D,E,F,G,H,I
4.0,10581,10553,10590,10553,10585,8877,11069,10706,10783
8.0,10857,10827,10867,10827,10860,9113,11357,10996,11096
12.0,11130,11099,11142,11099,11133,9350,11639,11236,11346
