,1,10,11,12,13,14,15,16,17,19,2,20,21,22,23,24,3,4,5,6,7,8,9,E1,E10,E11,E12,E13,E15,E17,E18,E19,E20,E21,E23,E24,E3,E4,E5,E6,E7,E8,E9
3.0,460,405,330,380,410,395,395,310,295,415,440,415,415,415,445,415,440,460,370,420,405,405,405,460,405,330,380,410,395,295,330,415,415,415,445,415,440,460,380,420,405,405,405
8.0,460,405,330,380,410,395,395,310,415,415,440,415,415,415,,415,440,460,370,420,405,405,405,460,405,330,380,410,395,295,330,415,415,415,445,415,440,460,380,420,405,405,405
12.0,460,400,368,360,410,320,605,310,415,345,615,275,415,275,,415,440,405,316,420,400,400,405,460,405,330,380,410,430,295,330,415,275,415,445,415,440,405,316,420,405,405,365
