,A,B,C,D,E,F,G,H,J,K
8.0,18658,17043,15555,17202,17074,18208,17870,16209,17228,18102
20.0,18955,17756,16893,19164,18378,19374,19493,17218,19064,18854
31.0,18103,18992,17936,19922,19029,20722,20568,20288,20122,19143
