,A1,A2,B10,B12,B13,B13C15,B3,B4,B5,B7,B8,B9,C15,C16
2.0,353,348,423,423,,808,431,430,431,431,423,431,370,348
3.0,353,348,425,423,,808,431,430,431,431,423,431,370,348
4.0,353,348,425,423,,808,431,430,431,431,423,431,370,348
