,A,B,D,E,F,G,H,I
3.0,5206050,4262445,4295900,4262445,4343075,4262445,4235715,3826695
6.0,5262975,4308975,4351150,4308975,4397475,4308975,5051475,4462665
8.0,5299775,4340160,4388125,4340160,4433600,4340160,4312440,4499640
