,A1,A2,A3,B2,C1,C3,D1,D3,E3,F3,F4,G1
2.0,445,323,406,335,335,297,335,297,297,297,297,320
3.0,445,323,406,335,335,297,335,297,297,297,297,320
4.0,445,323,406,335,335,297,335,297,297,297,297,320
