,1,10,2,3,4,5,6,7,8,9
7.0,4437867,5367706,6265530,4568994,5327818,5414242,4450298,6357765,4639971,5428092
18.0,4753855,5618668,6686715,4787138,5415350,5670744,4696913,7825140,4924681,5722266
29.0,4969994,6778744,6989220,4984430,5825310,5938326,4909844,8174730,5154454,5915612
