,10,11,12,13,15,2,20A,20C,21A,21C,22,23,24,3,6,7,9
6.0,443,443,531,449,443,443,,,,,443,443,381,443,443,443,485
16.0,443,443,531,449,443,443,,,,,443,443,381,443,443,443,485
28.0,443,443,531,449,443,443,,,,,443,443,381,443,443,443,485
