,A,AB,B,C,D,E,F,G,H
5.0,14667,11551,13870,14272,14164,13867,13620,13646,14667
14.0,15273,12317,14710,15161,14681,14719,14444,14492,15273
23.0,14505,13106,15552,12975,14334,14379,15280,15508,14505
