,A,B,C,D,E,F,G,H,J,K,L
15.0,15394,15476,14973,14715,16810,15537,16189,16094,15376,15406,15619
31.0,15619,15295,16129,15295,17919,16739,16474,16951,15822,16201,16523
48.0,16415,15707,16862,15634,18484,16886,17225,16701,16389,16168,16401
