,1,2,3,4,5,6,8
8.0,4193800,4230200,4169750,4194450,4206150,4193800,4193800
22.0,4187950,4565600,4350450,4384250,4427800,4533100,4533100
33.0,4286100,4746300,4340050,4348500,4711850,4323800,4323800
