,C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C3,C4,C5,C6,C7,C8,C9
2.0,9824,10043,9803,9803,10646,8449,9803,8263,10245,9925,10947,9885,10306,9723,9951,9723,9962,9803,9192,9803
4.0,9861,10139,9896,9896,10727,8531,9896,8343,10342,9953,11086,9892,10404,9815,10046,10105,10057,9896,9284,9896
7.0,10005,10284,10037,10037,10884,8651,10037,8462,10490,10096,10946,10072,10554,9956,10190,9956,10201,10037,9288,10037
