,A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,C4
3.0,9352,9219,10261,10252,9352,9363,10250,9359,9079,10250,10262
6.0,9574,9525,10509,10503,9574,9586,10500,9584,9008,10500,10512
10.0,8482,9723,10842,10839,9867,9879,10834,9880,9303,10834,10847
