,A,A & B,B,C,D,E,F,G,H
6.0,11987556,29184342,11778062,11132880,11451440,7460901,8795520,11004345,12476088
14.0,12852949,30860294,12379127,11584320,12036856,7835410,10079100,11407470,13410069
23.0,13307087,32747146,13062443,12378960,12732460,8305622,9827460,12048600,14246266
