,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U,V,W
4.0,412,412,512,533,472,470,477,480,480,663,438,353,353,527,480,519,503,401,420,440
6.0,464,412,512,533,472,470,477,480,477,636,438,323,323,302,310,425,503,401,420,440
9.0,464,412,396,533,472,470,490,490,477,636,438,323,323,547,310,425,503,401,564,440
