,A,AB,B,C,D,E,F,G,H
6.0,,9546,9735,9706,13028,12005,9720,9607,9768
16.0,,10025,10224,10260,13231,12721,10334,10079,10250
25.0,,10688,10673,10707,13908,13298,11093,11026,10774
