,1,2,3,4,5,6,7,8,9
7.0,6610,6146,6071,6829,6470,6181,6038,6161,6091
20.0,6913,6431,6355,7165,7055,6470,6475,6439,6439
33.0,7210,6762,6584,7481,7353,6694,6689,6656,6812
