,A,B,B & C,C,D,E,F,G,H
7.0,10428245,10981390,,10743158,10562537,10385248,8942572,8944628,10448271
16.0,11216327,11683806,,11392156,11208670,11027258,9625678,9469422,11110896
25.0,11745838,12359820,,11930020,11645119,11550879,9908892,9909920,11784123
