,1,10,11,12,2,3,4,5,6,7,8,9,A,B,D,E,F,G,H,J
2.0,9380,9959,9146,8823,9232,10491,8682,8769,9416,9736,8896,9741,9686,8535,8818,8818,9171,9333,8818,8818
5.0,9565,10156,9326,8997,9415,10695,8853,8942,9688,9931,9072,9936,9853,8703,8992,8992,9352,9490,8992,8992
8.0,9540,10341,9506,9171,9566,10898,9023,9115,9772,10095,9247,10099,10016,8871,9165,9165,9532,9657,9165,9165
