,A,B,C,D,E,F,G,H,J
7.0,4692450,4164160,4272600,3903840,4361600,4118240,4195850,4732000,4605980
12.0,4829650,4254320,4397700,3971520,4490560,4237800,4325430,4869900,4740280
16.0,4942350,4353440,4498800,4056960,4600960,4334400,4427420,4982950,4850100
